@relation train

@attribute sent_num_word numeric
@attribute pos_cont_uni numeric
@attribute pos_prob_uni numeric
@attribute neg_count_uni numeric
@attribute neg_prob_uni numeric
@attribute neu_count_uni numeric
@attribute neu_prob_uni numeric
@attribute pos_cont_bi numeric
@attribute pos_prob_bi numeric
@attribute neg_count_bi numeric
@attribute neg_prob_bi numeric
@attribute neu_count_bi numeric
@attribute neu_prob_bi numeric
@attribute pos_cont_tri numeric
@attribute pos_prob_tri numeric
@attribute neg_count_tri numeric
@attribute neg_prob_tri numeric
@attribute neu_count_tri numeric
@attribute neu_prob_tri numeric
@attribute sen_char_meann numeric
@attribute nesbat numeric
@attribute jacard numeric
@attribute moshabeh numeric
@attribute gheir_moshabeh numeric
@attribute class {pos,neg,neu}

@data
15,15,10.915196,15,2.428985,15,1.65582,13,8.832897,10,1.918451,14,3.248652,4,2.677778,2,1,13,9.322222,3.266667,3.75,0.055556,4,13,neu
9,9,6.486155,9,1.687963,9,0.825882,8,6.227778,6,2.17,4,0.602222,7,6.705882,1,0.176471,1,0.117647,3.222222,0.6,0.2,7,5,pos
15,15,11.125518,15,4.326202,15,2.548279,11,6.8131,11,3.319101,14,5.867799,3,1.871212,4,1.162121,13,10.966667,3.8,0.833333,0.272727,19,5,neu
5,5,2.939452,5,2.208634,5,1.851914,3,0.805542,3,0.528997,4,2.665461,2,0.144167,2,0.413333,3,2.4425,2.6,0.357143,0,7,3,neu
23,23,19.308335,21,4.418319,21,2.273347,22,19.995867,10,3.468164,6,0.535969,21,20.318182,2,0.590909,1,0.090909,4.173913,4.6,0,27,11,pos
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.043478,0,0,1,pos
5,5,3.766588,5,0.905634,4,0.327777,4,3.621622,1,0.256757,1,0.121622,3,3,0,0,0,0,3.6,1,0,1,4,pos
6,6,5.066713,4,0.642173,4,0.291114,5,4.399399,2,0.478979,1,0.121622,4,4,0,0,0,0,3.666667,0.75,0,3,4,pos
6,6,4.736276,6,1.434399,6,0.829325,5,4.9375,1,0.764706,2,0.297794,4,4,0,0,0,0,3,1,0,2,4,pos
8,8,7.051959,5,1.400735,5,0.547305,7,6.914286,1,0.028571,1,0.057143,6,6,0,0,0,0,4.25,8,0,5,4,pos
7,7,4.067582,7,1.801214,7,1.131204,4,1.605055,6,2.12409,6,3.270855,0,0,2,0.422222,5,4.577778,3.285714,0.875,0,6,3,neu
7,7,5.281974,6,1.242366,5,1.475659,6,5.028361,3,1.455882,3,0.515756,5,4.8,0,0,1,0.2,4.285714,2.333333,0,8,4,pos
7,7,5.756938,5,0.923849,5,0.319213,6,5.607143,1,0.125,2,0.267857,5,5,0,0,0,0,5.142857,1,0,3,5,pos
5,5,3.785752,4,1.65238,4,0.561868,4,3.5,1,0.5,0,0,3,3,0,0,0,0,4.2,0.833333,0,1,4,pos
2,2,1.25,2,1.18336,2,0.56664,1,1,1,1,0,0,0,0,0,0,0,0,4.5,0.285714,0.125,3,1,pos
10,10,7.323091,10,3.206684,9,2.470225,7,4.35928,9,4.417117,6,1.223604,3,2.25,8,6.625,1,0.125,4,2.5,0,5,8,neg
13,12,9.356789,12,3.028338,13,3.614873,6,3.007328,6,1.112547,12,7.880125,3,1.158333,2,0.391667,11,9.45,3.384615,2.6,0,10,8,neu
10,10,8.541029,9,1.863602,10,1.595369,9,8.191191,4,1.386806,2,0.422003,8,8,1,0.5,1,0.5,3.3,1.25,0.058824,8,8,pos
19,19,15.687879,16,2.880858,14,1.431263,18,16.986097,4,0.481171,5,0.532731,17,16.555556,1,0.333333,1,0.111111,4.894737,1,0.088235,3,15,pos
15,15,11.558868,15,3.315387,13,2.125745,10,7.135228,14,7.209712,6,0.65506,3,1.916667,13,11.083333,0,0,3.866667,1.666667,0.095238,10,9,neg
12,12,10.131172,11,3.793446,10,1.075382,11,10.311364,2,0.636364,4,1.052273,10,9.875,0,0,1,0.125,5,1.714286,0.125,10,7,pos
12,12,10.441908,8,1.688556,9,1.869536,11,10.7,2,0.715455,2,0.584545,10,10,0,0,0,0,4.583333,1.333333,0.05,13,6,pos
6,6,5.588323,3,0.254618,4,1.157059,5,4.906977,1,0.069767,1,0.023256,4,4,0,0,0,0,5.666667,0.461538,0,9,1,pos
7,7,5.427113,6,1.371218,6,1.201669,6,4.610163,3,0.451192,3,0.938645,5,4.714286,0,0,1,0.285714,4.285714,0.875,0,0,7,pos
5,5,2.734493,5,2.041025,4,0.224482,1,0.4,4,3.48,1,0.12,0,0,3,3,0,0,3.6,0.714286,0,0,5,neg
10,10,7.712146,8,2.448793,9,0.839061,9,7.769841,5,1.912698,3,0.31746,8,8,0,0,0,0,2.8,2,0.166667,1,7,pos
9,9,6.282334,9,3.587798,8,1.129868,3,2.4669,8,6.208556,2,0.324544,0,0,7,7,0,0,3.444444,1.8,0.076923,4,6,neg
7,7,5.658005,5,0.986131,5,0.355863,6,5.166667,2,0.833333,0,0,5,5,0,0,0,0,3.571429,1.4,0,4,4,pos
11,11,8.920538,8,1.461374,7,1.618088,10,9.595238,1,0.071429,1,0.333333,9,9,0,0,0,0,4.181818,2.2,0.071429,1,9,pos
14,14,10.941534,14,4.357283,13,1.701183,6,4.165272,13,8.607682,3,0.227046,1,0.5,12,11.5,0,0,4.142857,2,0.105263,12,9,neg
5,5,4.378265,3,0.364064,3,0.257671,4,4,0,0,0,0,3,3,0,0,0,0,5.8,1.25,0,2,4,pos
12,12,9.070213,12,2.237045,9,0.692742,11,9.808081,4,0.828283,2,0.363636,10,10,0,0,0,0,4,1,0.047619,2,10,pos
12,12,9.688935,10,1.725514,9,0.585552,11,10.184541,4,1.41715,3,0.398309,10,10,0,0,0,0,3.583333,1,0.15,6,8,pos
15,14,10.333636,15,5.994061,13,2.672303,3,1.408547,14,11.951709,3,0.639744,0,0,13,12.75,1,0.25,3.866667,1.666667,0.235294,5,7,neg
9,9,6.087979,8,2.756609,9,2.155412,4,2.875,2,1.125,8,6,0,0,0,0,7,7,4.555556,0.6,0.111111,4,5,neu
12,12,9.097014,12,2.714475,12,1.188511,11,8.415506,7,1.655675,6,0.928819,10,9.25,1,0.25,1,0.5,3.25,1.5,0,5,8,pos
11,11,8.227081,11,2.629091,10,2.143829,4,2.339369,10,6.015699,5,1.644932,0,0,9,8.333333,2,0.666667,4.363636,0.846154,0.2,16,4,neg
15,15,12.001632,13,3.427439,13,2.570928,14,12.819115,5,1.156178,4,1.024707,13,12.666667,1,0.166667,1,0.166667,3.866667,1.363636,0.238095,18,8,pos
8,8,5.401235,8,1.558637,8,1.040128,2,0.928571,2,1.166667,7,4.904762,0,0,0,0,6,6,4.125,0.533333,0.047619,10,3,neu
5,5,3.06555,5,2.101762,4,0.832688,2,0.789413,4,2.464481,2,0.746107,1,0.104167,3,2.333333,1,0.5625,3.4,0.714286,0,1,4,neg
6,6,4.633742,6,1.997257,6,0.369001,5,4.50487,3,0.472403,1,0.022727,4,3.857143,1,0.142857,0,0,3.5,0.5,0,0,6,pos
